C208

VEHICLE
NUMBER     CAPACITY
  25       80

POST
   NO	 		      X				        Y 				      DEMAND		      READY		        DUE			        SERVICE
  0             40              50               0              0               33600           600              
  1             52              75              10              0               33600           600               
  2             45              70              30              0               33600           600               
  3             62              69              10              0               33600           600               
  4             60              66              10              0               33600           600               
  5             42              65              10              0               33600           600               
  6             16              42              20              0               33600           600               
  7             58              70              20              0               33600           600               
  8             34              60              20              0               33600           600               
  9             28              70              10              0               33600           600               
